registro_sistema,titulo,autor,assunto_principal,tipo_material,biblioteca,exemplares,emp_2018,emp_2019,emp_2020,emp_2022,total_emprestimos,media_por_exemplar
38299,Hardware :,"Mendonça, Alexandre.",Hardware,Livro,Biblioteca Central Zila Mamede,9,0,0,0,0,0,0.0
38437,Metaheurística busca tabu aplicada à solucão do problema da unidade móvel de pistoneio,"Dantas, Neuza Maria.",Algorítmo(Informática) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
38467,Uma abordagem transgenética para o problema de coloração de grafos,"Silva, Lívia Maria Martins da",Algorítmo(Informática) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
38472,A linguagem de descrição de arquiteturas ZCLcsp,"Rocha, Bartira Paraguaçú Falcão Dantas",Arquitetura de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
38476,Poirot :,"Tavares, Tatiana Aires",Interface de usuário -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
38857,Uma proposta de modelo conceitual para a elicitação de requisitos de sistemas dinâmicos,"Gottgtroy, Paulo César Moreira.",Engenharia de sistemas -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
39003,Designing and building parallel programs :,"Foster, Ian T.,",Programação paralela (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
39186,Introduction to algorithms,,Algoritmos de computador,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
39475,A Arte de comunicar,"Santos, Gildásio Mendes dos,",Tecnologia da informação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
41463,Desenvolvimento de software básico :,"Beck, Leland L.",Software -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
42133,Um framework para desenvolvimento de sistemas de apoio a atividades práticas tendo como estudo de caso a hotelaria,"Silva, Ivanosca Andrade da.",Inteligência artificial,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
