id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,registro_sistema,circulavel,grupo_cdd
1109972,2014018746,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 M685t v.1,9550,True,primario_004
27549,L178941,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.1,9550,True,primario_004
27548,L176866,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.1,9550,True,primario_004
27547,X008134,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,004.43 M685t,9550,True,primario_004
1110103,2014018759,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 M685t v.2,9551,True,primario_004
983239,2010081986,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.2,9551,True,primario_004
27552,L178942,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.2,9551,True,primario_004
27551,L116368,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.43 M685t v.2,9551,True,primario_004
1099055,2013114321,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.451 D265s,9772,True,primario_004
1425673,2025007383,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.451 D265s,9772,True,primario_004
28073,L118541,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.8 L749p,9807,True,primario_004
1318650,2019008070,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.41 A345p,9823,True,primario_004
28113,L118588,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.422.63 E82,9833,True,primario_004
28111,L118586,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.422.63 E82,9833,True,primario_004
16024,L122552,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.422.63 E82,9833,True,primario_004
28118,L118599,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.42 M612o,9837,True,primario_004
28146,L118631,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.72 T164c 2.ed.,9851,True,primario_004
28150,X007500,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.451  T164o,9852,True,primario_004
28149,X000029,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.451 T164o,9852,True,primario_004
28152,X000058,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.38  A286c,9853,True,primario_004
1058722,2013018246,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9854,True,primario_004
1058720,2013018244,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9854,True,primario_004
1058721,2013018245,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9854,True,primario_004
1058719,2013018243,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9854,True,primario_004
1058718,2013018242,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,ESPECIAL,004.421 A286d,9854,True,primario_004
