registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,assunto_lista,assunto_principal
171658,Paralelização em GPU da segmentação vascular com extração de Centerlines por Height Ridges,,Computação gráfica -#$&Medicina -#$&Dissertação.#$&Diagnóstico por imagem -#$&Segmentação vascular -#$&Dissertação.#$&Vasos sanguíneos -#$&Centerlines -#$&Dissertação.#$&Imagens médicas -#$&Height ridges -#$&Dissertação.#$&Arquitetura CUDA -#$&Dissertação.#$&Computer graphics.#$&Diagnostic imaging.,"Ribeiro, Ítalo Mendes da Silva.",Dissertação,1,2011.0,,,,"['Computação gráfica -', 'Medicina -', 'Dissertação', 'Diagnóstico por imagem -', 'Segmentação vascular -', 'Dissertação', 'Vasos sanguíneos -', 'Centerlines -', 'Dissertação', 'Imagens médicas -', 'Height ridges -', 'Dissertação', 'Arquitetura CUDA -', 'Dissertação', 'Computer graphics', 'Diagnostic imaging']",Computação gráfica -
171664,Lógica de programação e estruturas de dados com aplicações java,,Lógica de programação.#$&Algoritmos de computador.#$&Java (Linguagem de programação de computador).#$&Programação (Computadores).,"Puga, Sandra.",Livro,2,2009.0,2. ed. -,"Pearson,",,"['Lógica de programação', 'Algoritmos de computador', 'Java (Linguagem de programação de computador)', 'Programação (Computadores)']",Lógica de programação
171783,Artificial intelligence :,a modern approach /,Inteligência artificial.,"Russell, Stuart J.,",Livro,4,2010.0,3rd. ed. -,"Prentice Hall,",,['Inteligência artificial'],Inteligência artificial
171832,C++ primer plus,,C (Linguagem de programação de computador)#$&Linguagem de programação (Computadores).,"Prata, Stephen.",Livro,6,2005.0,5th. ed. -,"SAMS,",,"['C (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",C (Linguagem de programação de computador)
171850,Digital image processing,,Processamento de imagens -#$&Técnicas digitais.,"Gonzalez, Rafael C.",Livro,16,2008.0,3rd. ed. -,"Prentice Hall,",,"['Processamento de imagens -', 'Técnicas digitais']",Processamento de imagens -
171874,Estruturas de dados,,Estruturas de dados.#$&Algoritmos.#$&Árvores binárias.,"Edelweiss, Nina.",Livro,16,2009.0,,"Bookman,",,"['Estruturas de dados', 'Algoritmos', 'Árvores binárias']",Estruturas de dados
171885,Sistemas informáticos aplicados al turismo,,Informática aplicada ao turismo.,,Livro,8,2009.0,,"Pirámide,",8436823141,['Informática aplicada ao turismo'],Informática aplicada ao turismo
172027,"Hipertexto, hipermídia :",as novas ferramentas da comunicação digital /,Multimídia interativa.#$&Comunicações digitais.#$&Mídia digital.#$&Jornalismo.#$&Sistemas hipertexto.,,Livro,2,2007.0,,"Contexto,",9788572443623,"['Multimídia interativa', 'Comunicações digitais', 'Mídia digital', 'Jornalismo', 'Sistemas hipertexto']",Multimídia interativa
172028,Informática em psicopedagogia,,Psicologia da aprendizagem -#$&Inovações tecnológicas.#$&Psicologia educacional -#$&Inovações tecnológicas.#$&Informática.,,Livro,1,1996.0,,"SENAC São Paulo,",,"['Psicologia da aprendizagem -', 'Inovações tecnológicas', 'Psicologia educacional -', 'Inovações tecnológicas', 'Informática']",Psicologia da aprendizagem -
172101,MultiCluster :,um modelo de integração baseado em rede peer-to-peer para a concepção de grades locais /,Sistemas distribuídos -#$&Tese.#$&Redes -#$&Peer-to-peer -#$&Tese.#$&Computação em grade(Sistemas de computador) -#$&Tese.,"Barreto, Marcos Ennes.",Tese,1,2010.0,,,,"['Sistemas distribuídos -', 'Tese', 'Redes -', 'Peer-to-peer -', 'Tese', 'Computação em grade(Sistemas de computador) -', 'Tese']",Sistemas distribuídos -
172102,Modelagem e simulação da articulação temporomandibular,,Computação gráfica -#$&Tese.#$&Simulação -#$&Articulação temporomandibular -#$&Tese.#$&Corpo humano -#$&Diagnóstico por imagem -#$&Tese.,"Villamil, Marta Becker.",Tese,1,2009.0,,,,"['Computação gráfica -', 'Tese', 'Simulação -', 'Articulação temporomandibular -', 'Tese', 'Corpo humano -', 'Diagnóstico por imagem -', 'Tese']",Computação gráfica -
172241,Windows 98,,Windows (Programa de computador).,"Manosso, Igor Radamés",Livro,1,1999.0,,"ADW,",,['Windows (Programa de computador)'],Windows (Programa de computador)
172279,EJB 3 profissional :,java persistence API /,Java (Linguagem de programação de computador).#$&JavaBeans (Programa de computador).,"Keith, Mike.",Livro,5,2008.0,,"Ciência Moderna,",,"['Java (Linguagem de programação de computador)', 'JavaBeans (Programa de computador)']",Java (Linguagem de programação de computador)
172288,Operating systems :,internas and design principles /,Sistemas operacionais (Computadores).#$&Computadores.,"Stallings, William.",Livro,5,2009.0,6.ed. -,"Pearson,",,"['Sistemas operacionais (Computadores)', 'Computadores']",Sistemas operacionais (Computadores)
172290,Principios de análise e projeto de sistemas com UML,,Métodos orientados a objetos -#$&computação.#$&UML -#$&computação.#$&Análise de sistemas.,"Bezerra, Eduardo",Livro,3,2007.0,2. ed. -,"Elsevier,",,"['Métodos orientados a objetos -', 'computação', 'UML -', 'computação', 'Análise de sistemas']",Métodos orientados a objetos -
172299,Data and computer communications,,Sistema de transmissão da dados.#$&Rede de computador.#$&Ciência da computação.,"Stallings, William.",Livro,5,2011.0,9.ed. -,"Pearson,",9780131392052,"['Sistema de transmissão da dados', 'Rede de computador', 'Ciência da computação']",Sistema de transmissão da dados
172426,Ambiente de simulação híbrido integrado Hysys e rede industrial foundation fieldbus aplicado ao controle de uma coluna de destilação,,Redes industrais -#$&Foundations fieldbus -#$&Dissertação.#$&Ambiente híbrido -#$&Dissertação.#$&Coluna de destilação -#$&Dissertação.#$&Simulador -#$&Hyays® -#$&Dissertação.#$&Industrial networks.#$&Foundations fieldbus.#$&Hybrid environment#$&Hyays Simulator ®.,"Costa, Bruno Xavier da.",Dissertação,1,2011.0,,,,"['Redes industrais -', 'Foundations fieldbus -', 'Dissertação', 'Ambiente híbrido -', 'Dissertação', 'Coluna de destilação -', 'Dissertação', 'Simulador -', 'Hyays® -', 'Dissertação', 'Industrial networks', 'Foundations fieldbus', 'Hybrid environment', 'Hyays Simulator ®']",Redes industrais -
172429,Aplicação de indicadores webométricos nos programas de pós-graduação das engenharias recomendados pela Capes,,World Wide Web -#$&Dissertação.#$&Indicadores -#$&Programas de pós-graduação -#$&Engenharias -#$&Dissertação.#$&Processo de comunicação -#$&Dissertação.#$&Webometria -#$&Dissertação.#$&Webometric.#$&Programs of graduate engineering.#$&Performance metrics.,"Silva, Ilaydiany Cristina Oliveira da.",Dissertação,1,2011.0,,,,"['World Wide Web -', 'Dissertação', 'Indicadores -', 'Programas de pós-graduação -', 'Engenharias -', 'Dissertação', 'Processo de comunicação -', 'Dissertação', 'Webometria -', 'Dissertação', 'Webometric', 'Programs of graduate engineering', 'Performance metrics']",World Wide Web -
